Year,Population
200,190000000
600,200000000
1000,275000000
1500,450000000
1760,770000000
1927,2000000000
1956,2801002631
1977,4215772490
1990,5316175862
2000,6148898975
2010,6985603105
2020,7840952880
2023,8045311447
