name, hex
White, #FFFFFF
Black, #000000
JapaneseLaurel-Green, #1D5700
Rouge-Purple, #A23768
DeepCurulean-Blue, #0773B1
Piper-Orange, #D36027
Cold-Purple, #9BA0D8
FireBush-Orange, #E79F27
